15, PA3-B-Debug-Output.txt
-16.40, -20.79, -9.80, -15.95, -21.60, -8.56, 1.55
-43.36, -19.30, -27.35, -41.90, -18.55, -27.39, 1.64
-6.01, 0.85, -31.79, -5.51, 1.13, -31.90, 0.59
-4.22, -27.04, -29.06, -5.04, -26.15, -28.84, 1.23
-34.81, 4.93, -35.25, -34.77, 4.89, -35.23, 0.06
26.25, 20.83, 1.06, 27.74, 22.62, 1.25, 2.34
0.55, -8.75, 48.36, 1.13, -6.74, 48.34, 2.09
17.26, 5.34, -28.81, 19.92, 6.09, -27.50, 3.06
-12.69, -3.18, -47.65, -13.00, -3.41, -46.90, 0.84
24.11, -10.77, 1.59, 23.90, -10.07, 1.27, 0.80
-12.67, -28.89, -41.76, -13.37, -26.78, -40.06, 2.80
31.51, -9.62, -20.82, 30.86, -8.92, -20.30, 1.09
-43.42, -8.57, -34.75, -41.00, -7.55, -33.51, 2.91
-16.70, 17.72, 20.61, -15.99, 17.39, 20.96, 0.85
-6.82, 11.37, 44.01, -6.68, 11.35, 43.99, 0.15
